0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:24:27 +0900] "GET /exam/scoremanager/main/SubjectList.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:24:29 +0900] "POST /exam/scoremanager/main/LoginExecute.action HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:24:34 +0900] "GET /exam/scoremanager/LoginExecute.action HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:24:36 +0900] "POST /exam/scoremanager/LoginExecute.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:24:36 +0900] "GET /exam/scoremanager/main/Menu.action HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:24:48 +0900] "GET /exam/scoremanager/main/SubjectList.action HTTP/1.1" 200 8532
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:24:53 +0900] "GET /exam/scoremanager/main/TestList.action HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:25:00 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2014&f2=131&f3=DB6 HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:25:04 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2014&f2=131&f3=DB6 HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:25:07 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2014&f2=131&f3=DB6 HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:25:07 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2014&f2=131&f3=DB6 HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:25:08 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2014&f2=131&f3=DB6 HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:26:06 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2021&f2=201&f3=0 HTTP/1.1" 200 6354
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:26:07 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2021&f2=201&f3=0 HTTP/1.1" 200 6354
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:26:09 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2021&f2=201&f3=%E7%90%86%E7%A7%91 HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:26:14 +0900] "GET /exam/scoremanager/main/TestList.action?f1=2021&f2=201&f3=DB6 HTTP/1.1" 200 6362
